year,monthreported,category,dayofweek,timeofday,location,bikebrand,lock,registered,propertyvalue
11,November,theft bicycle,Friday,Unknown,SANTA CRUZ BIKE RACKS,SE,U-Lock,Yes,400
11,February,theft bicycle,Friday,0800-1600,INTERCOLLEGIATE ATHLETICS,Tommaso,Cable Lock,No,425
11,October,theft bicycle,Friday,2400-0800,SAN CLEMENTE,Giant,Cable Lock,Yes,435
11,April,theft bicycle,Friday,0800-1600,KERR HALL,Firmstrong,Not Locked,Yes,479
11,August,theft bicycle,Friday,0800-1600,STUDENT RESOURCES BLDG.,Specialized,Combo,No,1220
11,March,theft bicycle,Monday,0800-1600,SRB,Upland,Chain Lock,Yes,70
11,January,theft bicycle,Monday,0800-1600,SANTA CRUZ,Huffy,Not Locked,Yes,75
11,July,theft bicycle,Monday,0800-1600,ANACAPA,Micargi,Not Locked,Yes,100
11,June,theft bicycle,Monday,0800-1600,KERR HALL,Unknown,U-Lock,Yes,120
11,September,theft bicycle,Monday,0800-1600,UCEN,Unknown,Cable Lock,Yes,140
11,October,theft bicycle,Monday,0800-1600,CAMPBELL HALL,3G,U-Lock,No,160
11,October,theft bicycle,Monday,0800-1600,UCEN,Isla Vista,U-Lock,No,194
11,April,theft bicycle,Monday,2400-0800,HSSB,Blaster,U-Lock,Yes,200
11,October,theft bicycle,Monday,1600-2400,KERR HALL,CREAM,U-Lock,No,242
11,May,theft bicycle,Monday,0800-1600,CHEMISTRY,Cannondale,Cable Lock,Yes,270
11,April,theft bicycle,Monday,1600-2400,MUSIC,SE,U-Lock,Yes,290
11,June,theft bicycle,Monday,1600-2400,REC CEN,Retro,Cable Lock,No,300
11,May,theft bicycle,Monday,1600-2400,ORTEGA COMMONS,Retro,U-Lock,No,320
11,April,theft bicycle,Monday,0800-1600,NOBLE HALL,Trek,Not listed,Yes,400
11,May,theft bicycle,Monday,0800-1600,SOUTH HALL,Jamis,Cable Lock,No,454
11,May,theft bicycle,Monday,0800-1600,LIBRARY,Austro-Daimler,Cable Lock,No,510
11,August,theft bicycle,Monday,0800-1600,SOUTH HALL,Trek,U-Lock,No,575
11,August,theft bicycle,Monday,0800-1600,BUS LOOP,Fuji,U-Lock,No,675
11,September,theft bicycle,Saturday,0800-1600,DELAGUERRA,Huffy,Not Locked,Yes,60
11,May,theft bicycle,Saturday,1600-2400,"CUYAMA HOUSE, MANZANITA",Trek,Not listed,No,100
11,May,theft bicycle,Saturday,2400-0800,ENCINO,Urban,Not Locked,No,120
11,June,theft bicycle,Saturday,2400-0800,ANACAPA,Nishiki,U-Lock,No,150
11,May,theft bicycle,Saturday,2400-0800,SANTA CATALINA,Urban,U-Lock,Yes,160
11,January,theft bicycle,Saturday,2400-0800,MANZANITA VILLAGE,Phat,U-Lock,Yes,220
11,May,theft bicycle,Saturday,0800-1600,STORKETOWER,khs,U-Lock,Yes,425
11,December,theft bicycle,Saturday,1600-2400,BROIDA,Micargi,U-Lock,No,440
11,March,theft bicycle,Saturday,1600-2400,DAVIDSON LIBRARY,Mercier,U-Lock,Yes,1020
11,August,theft bicycle,Sunday,Unknown,SAN RAFAEL,Schwinn,Not listed,Yes,95
11,November,theft bicycle,Sunday,Unknown,ORTEGA COMMONS,Roadmaster,Cable Lock,Yes,120
11,May,theft bicycle,Sunday,1600-2400,HARDER STADIUM,Fixxies,U-Lock,No,170
11,December,theft bicycle,Sunday,1600-2400,CHEMISTRY,Rockhopper,Cable Lock,No,200
11,October,theft bicycle,Sunday,0800-1600,SANTA CATALINA,unknown,U-Lock,Yes,200
11,October,theft bicycle,Sunday,2400-0800,ARTS,REI,Cable Lock,No,210
11,October,theft bicycle,Sunday,0800-1600,SANTA CATALINA,Marin,U-Lock,Yes,320
11,October,theft bicycle,Sunday,1600-2400,CHEMISTRY,Univega,Cable Lock,No,325
11,July,theft bicycle,Sunday,1600-2400,LOT 51,DiamondBack,Cable Lock,No,500
11,May,theft bicycle,Sunday,2400-0800,BROIDA,Unknown,U-Lock,No,662
11,October,theft bicycle,Sunday,1600-2400,RECCEN,Trek,Combo,No,815
11,April,theft bicycle,Sunday,2400-0800,DAVIDSON LIBRARY,Univega,U-Lock,No,830
11,October,theft bicycle,Sunday,Unknown,SANTA CATALINA,Specialized,U-Lock,No,2100
11,September,theft bicycle,Thursday,1600-2400,ENGII,Unknown,Not Locked,No,30
11,April,theft bicycle,Thursday,1600-2400,WEST CAMPUS STABLES,Shimano,Not Locked,Yes,100
11,February,theft bicycle,Thursday,0800-1600,CAMPBELL HALL,Schwinn,U-Lock,Yes,100
11,July,theft bicycle,Thursday,0800-1600,SOUTH HALL,Unknown,U-Lock,Yes,115
11,May,theft bicycle,Thursday,1600-2400,RECCEN,Bianchi,Not Locked,No,150
11,October,theft bicycle,Thursday,0800-1600,PHELPS HALL,Dawes,Cable Lock,No,160
11,August,theft bicycle,Thursday,0800-1600,ENCINO VILLAGE,Unknown,U-Lock,No,170
11,June,theft bicycle,Thursday,1600-2400,STORKEHOUSING,Huffy,Combo,No,200
11,April,theft bicycle,Thursday,0800-1600,SOUTH HALL,SE,Cable Lock,No,215
11,May,theft bicycle,Thursday,0800-1600,SOUTH HALL,3G,Not listed,Yes,215
11,March,theft bicycle,Thursday,1600-2400,DAVIDSON LIBRARY,Raleigh,U-Lock,Yes,230
11,April,theft bicycle,Thursday,1600-2400,PSYCHOLOGY,SE,Cable Lock,Yes,250
11,January,theft bicycle,Thursday,1600-2400,ARTS,Schwinn,Cable Lock,Yes,270
11,March,theft bicycle,Thursday,0800-1600,DAVIDSON LIBRARY,Skinny Benny,Not listed,No,300
11,May,theft bicycle,Thursday,1600-2400,LIBRARY,Electra,Cable Lock,Yes,300
11,May,theft bicycle,Thursday,1600-2400,SAN CLEMENTE,Scott,Cable Lock,Yes,320
11,January,theft bicycle,Thursday,0800-1600,KERR HALL,Ross,U-Lock,Yes,320
11,September,theft bicycle,Thursday,0800-1600,SOUTH HALL,Marin,U-Lock,No,360
11,August,theft bicycle,Thursday,0800-1600,SAN CLEMENTE,Raleigh,Cable Lock,Yes,470
11,August,theft bicycle,Thursday,0800-1600,"SAN CLEMENTE, CASTIAC VILLAGE",Schwinn,Cable Lock,No,520
11,August,theft bicycle,Thursday,0800-1600,KERR HALL,Cannondale,U-Lock,No,620
11,February,theft bicycle,Thursday,1600-2400,DAVIDSON LIBRARY,Bianchi,Cable Lock,Yes,715
11,May,theft bicycle,Thursday,0800-1600,ENCINO VILLAGE,Specialized,Cable Lock,No,820
11,October,theft bicycle,Thursday,0800-1600,GIRVETZ,Lemond,U-Lock,No,950
11,November,theft bicycle,Tuesday,1600-2400,ROB GYM,Schwinn,U-Lock,Yes,95
11,May,theft bicycle,Tuesday,1600-2400,DELAGUERRA,Schwinn,U-Lock,Yes,120
11,January,theft bicycle,Tuesday,0800-1600,STUDENT RESOURCE BUILDING,Micargi,Not Locked,Yes,130
11,October,theft bicycle,Tuesday,0800-1600,SAN CLEMENTE,Schwinn,Cable Lock,Yes,160
11,April,theft bicycle,Tuesday,1600-2400,DAVIDSON LIBRARY,Unknown,U-Lock,No,175
11,October,theft bicycle,Tuesday,0800-1600,ENGII,Schwinn,Cable Lock,Yes,190
11,March,theft bicycle,Tuesday,2400-0800,HSSB,Blaster,U-Lock,No,200
11,April,theft bicycle,Tuesday,1600-2400,BUCHANAN,Villano,Not Locked,No,230
11,June,theft bicycle,Tuesday,0800-1600,SANTA CATALINA,Micargi,Cable Lock,Yes,270
11,January,theft bicycle,Tuesday,1600-2400,DE LA GUERRA,Force,U-Lock,No,300
11,May,theft bicycle,Tuesday,0800-1600,BROIDA,Fuji,U-Lock,Yes,300
11,July,theft bicycle,Tuesday,0800-1600,DAVIDSON LIBRARY,Pacific,U-Lock,Yes,320
11,October,theft bicycle,Tuesday,0800-1600,RECCEN,Mercier,Cable Lock,No,330
11,September,theft bicycle,Tuesday,0800-1600,SANTA CATALINA,Schwinn,U-Lock,No,330
11,June,theft bicycle,Tuesday,0800-1600,PHELPS,Giant,Chain Lock,No,400
11,April,theft bicycle,Tuesday,1600-2400,RECCEN,Gravity,Cable Lock,No,430
11,June,theft bicycle,Tuesday,0800-1600,WOODHOUSE LABS,Scott,Not Locked,No,950
11,June,theft bicycle,Unknown,Unknown,SAN RAFAEL,Magna,Cable Lock,Yes,20
11,September,theft bicycle,Unknown,Unknown,HSSB,Firmstrong,Not Locked,No,25
11,September,theft bicycle,Unknown,Unknown,CUYAMA. LOS ROBLES,Unknown,Cable Lock,No,40
11,February,theft bicycle,Unknown,Unknown,EL DORADO,Freespirit,Cable Lock,Yes,40
11,August,theft bicycle,Unknown,Unknown,ENGII,Huffy,Cable Lock,No,50
11,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Giant,Not listed,No,50
11,May,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Open Road,Cable Lock,Yes,60
11,October,theft bicycle,Unknown,Unknown,SAN MIGUEL,Diamondback,U-Lock,Yes,65
11,January,theft bicycle,Unknown,Unknown,THEATRE & DANCE,Firmstrong,Cable Lock,Yes,70
11,June,theft bicycle,Unknown,Unknown,LIBRARY,Electra,U-Lock,Yes,70
11,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Gary Fisher,Cable Lock,Yes,75
11,May,theft bicycle,Unknown,Unknown,SAN MIGUEL,Nishiki,Not listed,Yes,75
11,November,theft bicycle,Unknown,Unknown,ANACAPA,Schwinn,U-Lock,Yes,75
11,October,theft bicycle,Unknown,Unknown,STORKEHOUSING,Huffy,Not Locked,No,80
11,July,theft bicycle,Unknown,Unknown,SAN RAFAEL,Northwoods,U-Lock,Yes,80
11,June,theft bicycle,Unknown,Unknown,LOT 38,Royce Union,U-Lock,Yes,90
11,November,theft bicycle,Unknown,Unknown,KERR HALL,Mongoose,U-Lock,Yes,95
11,June,theft bicycle,Unknown,Unknown,SAN MIGUEL,PHAT,U-Lock,Yes,95
11,February,theft bicycle,Unknown,Unknown,RECCEN,Performance,Not listed,No,100
11,September,theft bicycle,Unknown,Unknown,UCEN,Murray,Cable Lock,Yes,100
11,May,theft bicycle,Unknown,Unknown,BUS LOOP,Schwinn,Cable Lock,Yes,100
11,January,theft bicycle,Unknown,Unknown,LIBRARY,Raleigh,Not listed,Yes,100
11,November,theft bicycle,Unknown,Unknown,ANACAPA BIKE RACKS,Huffy,U-Lock,Yes,100
11,December,theft bicycle,Unknown,Unknown,SANTA CATALINA,Quasar,Cable Lock,Yes,105
11,July,theft bicycle,Unknown,Unknown,WESTGATE APT.,Unknown,Cable Lock,No,110
11,November,theft bicycle,Unknown,Unknown,"ARGUELLO, LAS ENCINAS QUAD",Pacific,U-Lock,No,110
11,May,theft bicycle,Unknown,Unknown,SAN MIGUEL,Magna,Cable Lock,Yes,110
11,June,theft bicycle,Unknown,Unknown,SANTA CRUZ,Murray,Cable Lock,Yes,110
11,September,theft bicycle,Unknown,Unknown,SAN MIGUEL,Specialized,Cable Lock,Yes,113
11,July,theft bicycle,Unknown,Unknown,ENGII,Montego,Padlock,No,115
11,July,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,Yes,115
11,June,theft bicycle,Unknown,Unknown,STORKEHOUSING,City Limit,Cable Lock,No,120
11,September,theft bicycle,Unknown,Unknown,SAN MIGUEL,Magna,U-Lock,No,120
11,June,theft bicycle,Unknown,Unknown,SANTA CATALINA,Jamis,Cable Lock,Yes,120
11,September,theft bicycle,Unknown,Unknown,SAN NICOLAS,Magna,Cable Lock,Yes,120
11,April,theft bicycle,Unknown,Unknown,SANTA CRUZ,DiamondBack,U-Lock,Yes,120
11,October,theft bicycle,Unknown,Unknown,SANTA CRUZ,HANTER,U-Lock,Yes,120
11,November,theft bicycle,Unknown,Unknown,EVENTS CENTER,KHS,U-Lock,Yes,120
11,August,theft bicycle,Unknown,Unknown,SAN MIGUEL,Genesis,U-Lock,No,125
11,November,theft bicycle,Unknown,Unknown,SOUTH HALL,Raleigh,U-Lock,No,125
11,October,theft bicycle,Unknown,Unknown,SAN RAFAEL,Haro,Cable Lock,Yes,130
11,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,Cable Lock,Yes,130
11,June,theft bicycle,Unknown,Unknown,UCEN,Upland,Cable Lock,Yes,130
11,January,theft bicycle,Unknown,Unknown,SANTA CRUZ,Firmstrong,U-Lock,Yes,135
11,October,theft bicycle,Unknown,Unknown,CAMPBELL HALL,Trek,Cable Lock,Yes,140
11,September,theft bicycle,Unknown,Unknown,SAN NICOLAS,Unknown,U-Lock,Yes,140
11,September,theft bicycle,Unknown,Unknown,SANTA ROSA,KHS,Cable Lock,No,150
11,December,theft bicycle,Unknown,Unknown,ENGI,Phat,Cable Lock,No,150
11,May,theft bicycle,Unknown,Unknown,"PENDOLS, LOS ROBLES",Diamondback,U-Lock,Yes,150
11,September,theft bicycle,Unknown,Unknown,DELAGUERRA,Freespirit,U-Lock,Yes,150
11,September,theft bicycle,Unknown,Unknown,ANACAPA,Omega,U-Lock,Yes,150
11,July,theft bicycle,Unknown,Unknown,SANTA YNEZ,Diamondback,U-Lock,No,160
11,March,theft bicycle,Unknown,Unknown,KERR HALL,Simple,U-Lock,Yes,160
11,February,theft bicycle,Unknown,Unknown,BUS LOOP,Mongoose,Cable Lock,No,165
11,August,theft bicycle,Unknown,Unknown,DELAGUERRA,Peugot,Chain Lock,No,165
11,June,theft bicycle,Unknown,Unknown,AS BIKE SHOP,Fuji,Not listed,No,170
11,September,theft bicycle,Unknown,Unknown,SAN RAFAEL,Unknown,U-Lock,Yes,170
11,July,theft bicycle,Unknown,Unknown,SANTA CATALINA,Unknown,U-Lock,Yes,170
11,April,theft bicycle,Unknown,Unknown,BUS LOOP,Firmstrong,U-Lock,No,174
11,April,theft bicycle,Unknown,Unknown,SANTA ROSA,Giant,U-Lock,Yes,175
11,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,U-Lock,No,180
11,January,theft bicycle,Unknown,Unknown,SAN MIGUEL,Urban,U-Lock,Yes,180
11,August,theft bicycle,Unknown,Unknown,SAN NICOLAS,Firmstrong,U-Lock,Yes,189
11,November,theft bicycle,Unknown,Unknown,SANTA YNEZ APT. RACKS,Micargi,Cable Lock,No,190
11,October,theft bicycle,Unknown,Unknown,UCEN,Unknown,Cable Lock,No,190
11,February,theft bicycle,Unknown,Unknown,BUS LOOP,Sun,U-Lock,Yes,190
11,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,U-Lock,No,195
11,September,theft bicycle,Unknown,Unknown,SANTA CATALINA,Dawes,Cable Lock,Yes,195
11,July,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Centurian,Not listed,No,200
11,October,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Schwinn,U-Lock,No,200
11,March,theft bicycle,Unknown,Unknown,SAN RAFAEL,Trek,Not Locked,Yes,200
11,March,theft bicycle,Unknown,Unknown,ARTS BLDG,Schwinn,Not listed,No,210
11,April,theft bicycle,Unknown,Unknown,SAN NICOLAS,Fuji,Cable Lock,Yes,212
11,June,theft bicycle,Unknown,Unknown,SANTA CATALINA,Electra,Cable Lock,Yes,215
11,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Peugeot,U-Lock,Yes,220
11,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Giant,U-Lock,Yes,225
11,February,theft bicycle,Unknown,Unknown,DELAGUERRA,Phat,U-Lock,Yes,225
11,October,theft bicycle,Unknown,Unknown,CAMPBELL,Raleigh,U-Lock,No,230
11,September,theft bicycle,Unknown,Unknown,SAN MIGUEL,Unknown,Cable Lock,No,240
11,May,theft bicycle,Unknown,Unknown,BREN,Allez,U-Lock,No,250
11,October,theft bicycle,Unknown,Unknown,EVENTSCENTER,Draft,U-Lock,No,250
11,October,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Phat,Cable Lock,Yes,250
11,June,theft bicycle,Unknown,Unknown,SAN RAFAEL,Fuji,U-Lock,No,265
11,April,theft bicycle,Unknown,Unknown,GAVIOTA HOUSE,630,Cable Lock,No,270
11,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Fuji,U-Lock,No,270
11,July,theft bicycle,Unknown,Unknown,MANZANITA VILLAGE,Ice Cream,U-Lock,No,270
11,June,theft bicycle,Unknown,Unknown,BUS LOOP,Unknown,U-Lock,No,275
11,November,theft bicycle,Unknown,Unknown,SANTA YNEZ APT.S,Winsor,U-Lock,No,275
11,June,theft bicycle,Unknown,Unknown,"SAN CLEMENTE, ENCINO VILLAGE",Trek,Cable Lock,Yes,275
11,July,theft bicycle,Unknown,Unknown,SANTA CATALINA,Seawind,U-Lock,No,280
11,November,theft bicycle,Unknown,Unknown,SANTA CATALINA RACKS,Electra,U-Lock,Yes,280
11,September,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,American Flyer,U-Lock,No,288
11,October,theft bicycle,Unknown,Unknown,ARROWHEAD VILLAGE,Bridgestone,Cable Lock,No,300
11,October,theft bicycle,Unknown,Unknown,ANACAPA,Micargi,Cable Lock,No,300
11,April,theft bicycle,Unknown,Unknown,STORKEHOUSING,Raleigh,Cable Lock,No,300
11,October,theft bicycle,Unknown,Unknown,CAMPBELL,Trek,Combo,No,300
11,June,theft bicycle,Unknown,Unknown,SAN MIGUEL,Draft,U-Lock,No,300
11,October,theft bicycle,Unknown,Unknown,CARRILLO COMMONS,Tommaso,U-Lock,No,300
11,October,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Electra,Cable Lock,No,310
11,June,theft bicycle,Unknown,Unknown,DONNER VILLAGE,Gary Fisher,Cable Lock,No,310
11,May,theft bicycle,Unknown,Unknown,CASTIAC VILLAGE,Schwinn,Cable Lock,No,310
11,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,U-Lock,Yes,310
11,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Phat,Chain Lock,Yes,315
11,October,theft bicycle,Unknown,Unknown,SANTA ROSA,Iron Horse,Cable Lock,Yes,320
11,November,theft bicycle,Unknown,Unknown,PSB SOUTH,Trek,Cable Lock,Yes,325
11,October,theft bicycle,Unknown,Unknown,DONNER,Kona,Cable Lock,No,330
11,October,theft bicycle,Unknown,Unknown,SAN RAFAEL,Scattante,Cable Lock,Yes,335
11,September,theft bicycle,Unknown,Unknown,ORTEGA COMMONS,Retro,U-Lock,Yes,340
11,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,630,U-Lock,Yes,365
11,January,theft bicycle,Unknown,Unknown,SANTA CRUZ,Unknown,U-Lock,No,370
11,October,theft bicycle,Unknown,Unknown,SAN MIGUEL,Specialized,U-Lock,Yes,400
11,June,theft bicycle,Unknown,Unknown,SAN NIC,Specialized,U-Lock,Yes,400
11,November,theft bicycle,Unknown,1600-2400,THEATRE & DANCE,Specialized,Cable Lock,No,415
11,October,theft bicycle,Unknown,Unknown,SAN NICOLAS,Fuji,U-Lock,Yes,420
11,September,theft bicycle,Unknown,Unknown,SANTA CATALINA,Fuji,U-Lock,Yes,420
11,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Torker,U-Lock,Yes,420
11,November,theft bicycle,Unknown,Unknown,BUS LOOP,SR,Cable Lock,No,425
11,April,theft bicycle,Unknown,Unknown,SAN MIGUEL,Phat,U-Lock,Yes,425
11,May,theft bicycle,Unknown,Unknown,WOODHOUSE LAB,KHS,U-Lock,No,430
11,September,theft bicycle,Unknown,Unknown,ORTEGA COMMONS,Access,Cable Lock,Yes,430
11,October,theft bicycle,Unknown,Unknown,SAN MIGUEL,State,Other,No,440
11,March,theft bicycle,Unknown,Unknown,SANTA CATALINA,BMX,U-Lock,Yes,510
11,November,theft bicycle,Unknown,Unknown,SAN NICOLAS,Unknown,U-Lock,Yes,525
11,September,theft bicycle,Unknown,Unknown,SANTA YNEZ APT. #427,Trek,Cable Lock,No,535
11,October,theft bicycle,Unknown,Unknown,SANTA ROSA,Trek,Cable Lock,Yes,565
11,June,theft bicycle,Unknown,Unknown,ENGII,Marin,U-Lock,No,600
11,September,theft bicycle,Unknown,Unknown,SANTA CATALINA,Trek,Cable Lock,No,610
11,November,theft bicycle,Unknown,Unknown,CAMPBELL HALL,Trek,U-Lock,Yes,650
11,April,theft bicycle,Unknown,Unknown,SSMS,Giant,Chain Lock,No,770
11,April,theft bicycle,Unknown,Unknown,SAN MIGUEL,Motobecane,Cable Lock,No,920
11,October,theft bicycle,Unknown,Unknown,SAN MIGUEL,Novara,U-Lock,Yes,945
11,June,theft bicycle,Wednesday,1600-2400,UCEN,Unknown,Not Locked,No,50
11,October,theft bicycle,Wednesday,0800-1600,UCPD,Diamondback,Not Locked,No,60
11,February,theft bicycle,Wednesday,0800-1600,KERR HALL,Micargi,Not listed,Yes,100
11,March,theft bicycle,Wednesday,0800-1600,RECCEN,3G,U-Lock,Yes,120
11,October,theft bicycle,Wednesday,1600-2400,DELAGUERRA,VBS,U-Lock,Yes,150
11,December,theft bicycle,Wednesday,Unknown,CAMPBELL HALL RACKS,Unknown,U-Lock,No,160
11,June,theft bicycle,Wednesday,1600-2400,SSMS,Giant,Cable Lock,No,170
11,August,theft bicycle,Wednesday,0800-1600,GIRVETZ,Unknown,U-Lock,No,175
11,January,theft bicycle,Wednesday,0800-1600,RECCEN,Fuji,U-Lock,No,200
11,July,theft bicycle,Wednesday,0800-1600,PHELPS,unknown,U-Lock,No,200
11,March,theft bicycle,Wednesday,0800-1600,DAVIDSON LIBRARY,Fuji,U-Lock,Yes,215
11,January,theft bicycle,Wednesday,1600-2400,KERR HALL,Continental,U-Lock,No,220
11,March,theft bicycle,Wednesday,0800-1600,ENCINO VILLAGE,Specialized,Cable Lock,No,265
11,June,theft bicycle,Wednesday,2400-0800,ANACAPA,Phat,U-Lock,No,270
11,March,theft bicycle,Wednesday,0800-1600,INTERCOLLEGIATE ATHLETICS,Micargi,U-Lock,Yes,270
11,December,theft bicycle,Wednesday,0800-1600,BUS LOOP,Niitaka,U-Lock,No,285
11,November,theft bicycle,Wednesday,1600-2400,CAMPBELL HALL,Electra,Cable Lock,Yes,300
11,October,theft bicycle,Wednesday,0800-1600,DAVIDSON LIBRARY,Sole,U-Lock,Yes,310
11,February,theft bicycle,Wednesday,1600-2400,ENGII,Centurian,Cable Lock,No,315
11,July,theft bicycle,Wednesday,0800-1600,CAMPBELL HALL,Urban,Cable Lock,No,325
11,June,theft bicycle,Wednesday,2400-0800,LIBRARY,Retro,U-Lock,No,328
11,May,theft bicycle,Wednesday,2400-0800,SAN RAFAEL,Fuji,U-Lock,No,410
11,March,theft bicycle,Wednesday,0800-1600,PHELPS HALL,Fuji,U-Lock,No,420
11,June,theft bicycle,Wednesday,0800-1600,MARINE SCIENCES BLDG,3G,Cable Lock,No,520
11,March,theft bicycle,Wednesday,0800-1600,DAVIDSON LIBRARY,Giant,Combo,No,575
11,June,theft bicycle,Wednesday,0800-1600,DE LA GUERRA,Specialized,Cable Lock,No,625
11,June,theft bicycle,Wednesday,0800-1600,CHEMISTRY,Leader,Not Locked,No,1100
12,April,theft bicycle,Friday,Unknown,SANTA CATALINA,Motiv,U-Lock,No,55
12,January,theft bicycle,Friday,0800-1600,SAASB BIKE RACKS,Huffy,Combo,Yes,80
12,January,theft bicycle,Friday,1600-2400,RECCEN RACKS,Schwinn,U-Lock,Yes,125
12,October,theft bicycle,Friday,1600-2400,ENCINO,Flyer,U-Lock,Yes,139
12,October,theft bicycle,Friday,0800-1600,KERR HALL,Hurley,U-Lock,No,225
12,February,theft bicycle,Friday,1600-2400,DAVIDSON LIBRARY,Avalon,U-Lock,Yes,320
12,October,theft bicycle,Friday,0800-1600,RECCEN RACKS,Corso,U-Lock,No,339
12,August,theft bicycle,Friday,2400-0800,STORKEHOUSING,Vist,U-Lock,No,500
12,February,theft bicycle,Monday,1600-2400,BROIDA HALL,Columbia,Cable Lock,No,55
12,August,theft bicycle,Monday,0800-1600,"HSSB, ROOM #1236",Unknown,Not Locked,No,55
12,June,theft bicycle,Monday,Unknown,SANTA ROSA RACKS,Firmstrong,U-Lock,Yes,70
12,October,theft bicycle,Monday,1600-2400,GIRVETZ,3G,Not Locked,Yes,90
12,January,theft bicycle,Monday,0800-1600,ARBOR RACKS,Schwinn,U-Lock,Yes,115
12,June,theft bicycle,Monday,1600-2400,LOT 9,Hyper,Not listed,No,130
12,May,theft bicycle,Monday,0800-1600,ANACAPA RACKS,Schwinn,Cable Lock,Yes,150
12,April,theft bicycle,Monday,1600-2400,SOUTH HALL,Huffy,U-Lock,Yes,150
12,July,theft bicycle,Monday,0800-1600,DAVIDSON LIBRARY,3G,U-Lock,No,162
12,July,theft bicycle,Monday,0800-1600,KERR HALL,Urban,Not Locked,No,169
12,August,theft bicycle,Monday,1600-2400,BUS LOOP,3G,U-Lock,No,179
12,July,theft bicycle,Monday,1600-2400,KERR HALL,Urban,U-Lock,No,200
12,October,theft bicycle,Monday,2400-0800,SANTA CATALINA RACKS,Fixie,Cable Lock,Yes,270
12,August,theft bicycle,Monday,2400-0800,"SANTA YNEZ, O/S #302",Giant,Cable Lock,No,315
12,March,theft bicycle,Monday,1600-2400,EVENTS CENTER,Specialized,U-Lock,Yes,530
12,April,theft bicycle,Monday,0800-1600,BIOII,Giant,Combo,Yes,575
12,August,theft bicycle,Monday,1600-2400,DAVIDSON LIBRARY,GT,Not Locked,No,1025
12,August,theft bicycle,Saturday,1600-2400,BUS LOOP,Roadmaster,Not listed,Yes,180
12,August,theft bicycle,Saturday,1600-2400,"SAN NIC, IFO",Varsity,U-Lock,No,220
12,February,theft bicycle,Saturday,2400-0800,SANTA CATALINA,Micargi,Cable Lock,No,289
12,June,theft bicycle,Saturday,1600-2400,DAVIDSON LIBRARY,Touring,U-Lock,Yes,300
12,August,theft bicycle,Saturday,1600-2400,BUS LOOP,Pure Fix,Cable Lock,No,393
12,March,theft bicycle,Saturday,Unknown,"SAN NIC, RACKS",Fuji,Not listed,Yes,500
12,March,theft bicycle,Saturday,0800-1600,BROIDA,"Kilo,",U-Lock,No,730
12,June,theft bicycle,Sunday,1600-2400,"SANTA CATALINA, RACKS",Mongoose,Not Locked,Yes,2
12,June,theft bicycle,Sunday,1600-2400,CAMPBELL,Firmstrong,Not listed,Yes,81
12,October,theft bicycle,Sunday,0800-1600,"CAMPBELL HALL, RACKS",Unknown,Cable Lock,No,85
12,February,theft bicycle,Sunday,1600-2400,BUS LOOP RACK,Cuttler,U-Lock,No,300
12,January,theft bicycle,Sunday,2400-0800,SANTA ROSA RACKS,Fuji,U-Lock,Yes,300
12,August,theft bicycle,Sunday,1600-2400,DAVIDSON LIBRARY,Retrospec,Cable Lock,Yes,315
12,January,theft bicycle,Sunday,1600-2400,SANTA CRUZ RACKS,Specialized,Not listed,Yes,650
12,October,theft bicycle,Thursday,0800-1600,CREATIVE STUDIES,Huffy,Cable Lock,Yes,50
12,May,theft bicycle,Thursday,0800-1600,CAMPBELL HALL RACKS,Trek,U-Lock,No,85
12,May,theft bicycle,Thursday,0800-1600,"HSSB, BIKE RACKS",Mongoose,Not listed,No,150
12,June,theft bicycle,Thursday,Unknown,UCEN O/S,Phat,Not Locked,Yes,180
12,June,theft bicycle,Thursday,0800-1600,"EL DORADO, RACKS",Urban,U-Lock,No,195
12,November,theft bicycle,Thursday,0800-1600,BUCHANAN ROOM 1910,Centurion,Not Locked,No,200
12,May,theft bicycle,Thursday,0800-1600,INTERCOLLEGIATEATHLETICS,Purefix,Not listed,No,250
12,July,theft bicycle,Thursday,2400-0800,STORKEHOUSING,Specialized,Cable Lock,No,300
12,May,theft bicycle,Tuesday,0800-1600,SAN RAFAEL BIKE RACK,GT,Not Locked,Yes,40
12,September,theft bicycle,Tuesday,0800-1600,REC CEN RACKS,Next,U-Lock,No,50
